ubicageo_c,ahirregu_a,rensnn1,rensnn2
15048,1,1,2
15049,1,1,1
15050,1,1,2
15051,1,2,0
15052,1,2,0
15053,1,2,0
15054,1,1,2
15055,1,1,2
15056,1,2,0
15057,1,1,1
15058,1,1,1
15059,1,1,2
15060,1,2,0
15061,1,2,0
15062,1,1,2
15063,1,9,97
15064,1,9,97
15065,1,1,2
15066,1,9,97
15067,1,1,9
15068,1,1,2
15069,1,2,0
15070,1,1,1
15071,1,2,0
15072,1,1,2
15073,1,1,1
15074,1,1,2
15075,1,2,0
15076,1,1,2
15077,1,2,0
15078,1,1,1
15079,1,2,0
15080,1,9,97
15081,1,1,1
15082,1,9,97
15083,1,2,0
15084,1,1,2
15085,1,1,9
15086,1,1,2
15087,1,1,1
15088,1,1,1
15089,1,1,1
15090,1,1,2
15091,1,2,0
15092,1,1,2
15093,1,1,1
15094,1,1,2
15095,1,1,2
15096,1,2,0
15097,1,2,0
15098,1,2,0
15099,1,1,1
15100,1,2,0
15101,1,1,2
15102,1,1,1
15103,1,1,1
15104,1,1,2
15105,1,2,0
15106,1,2,0
15107,1,1,2
15108,1,1,2
15109,1,1,1
15110,1,1,2
15111,1,1,1
15112,1,2,0
15113,1,1,1
15114,1,1,1
15115,1,1,9
15116,1,1,2
15117,1,2,0
15118,1,2,0
15119,1,2,0
15120,1,1,1
15121,1,1,1
15122,1,1,1
15123,1,2,0
15124,1,1,1
15125,1,1,1
16001,1,2,0
16002,1,2,0
16003,1,2,0
16004,1,1,2
16005,1,2,0
16006,1,2,0
16007,1,2,0
16008,1,1,1
16009,1,2,0
16010,1,1,1
16011,1,2,0
16012,1,1,1
16013,1,2,0
16014,1,1,2
16015,1,2,0
16016,1,1,2
16017,1,1,2
16018,1,1,1
16019,1,1,1
16020,1,1,2
16021,1,1,2
16022,1,1,2
16023,1,1,2
16024,1,2,0
16025,1,2,0
16026,1,2,0
16027,1,2,0
16028,1,2,0
16029,1,1,1
16030,1,2,0
16031,1,2,0
16032,1,2,0
16033,1,2,0
16034,1,1,2
16035,1,2,0
16036,1,2,0
16037,1,2,0
16038,1,2,0
16039,1,2,0
16040,1,2,0
16041,1,1,2
16042,1,2,0
16043,1,1,1
16044,1,2,0
16045,1,2,0
16046,1,2,0
16047,1,1,2
16048,1,1,1
16049,1,1,2
16050,1,1,2
16051,1,1,2
16052,1,1,1
16053,1,1,1
16054,1,2,0
16055,1,1,2
16056,1,2,0
16057,1,2,0
16058,1,1,1
16059,1,2,0
16060,1,1,2
16061,1,2,0
16062,1,2,0
16063,1,2,0
16064,1,1,1
16065,1,1,2
16066,1,1,2
16067,1,2,0
16068,1,1,1
16069,1,2,0
16070,1,2,0
16071,1,1,2
16072,1,1,2
16073,1,2,0
16074,1,2,0
16075,1,2,0
16076,1,1,1
16077,1,2,0
16078,1,1,2
16079,1,2,0
16080,1,2,0
16081,1,2,0
16082,1,1,2
16083,1,1,2
16084,1,2,0
16085,1,2,0
16086,1,2,0
16087,1,1,2
16088,1,1,2
16089,1,1,1
16090,1,2,0
16091,1,2,0
16092,1,2,0
16093,1,2,0
16094,1,2,0
16095,1,2,0
16096,1,1,2
16097,1,2,0
16098,1,2,0
16099,1,2,0
16100,1,1,2
16101,1,2,0
16102,1,1,2
16103,1,2,0
16104,1,2,0
16105,1,2,0
16106,1,1,1
16107,1,1,1
16108,1,1,2
16109,1,2,0
16110,1,2,0
16111,1,1,2
16112,1,1,2
16113,1,2,0
17001,1,1,2
17002,1,2,0
17003,1,2,0
17004,1,1,2
17005,1,2,0
17006,1,1,2
17007,1,1,1
17008,1,1,2
17009,1,1,1
17010,1,1,2
17011,1,1,1
17012,1,2,0
17013,1,1,2
17014,1,1,2
17015,1,2,0
17016,1,2,0
17017,1,1,2
17018,1,1,2
17019,1,1,2
17020,1,1,2
17021,1,2,0
17022,1,1,2
17023,1,2,0
17024,1,1,2
17025,1,2,0
17026,1,1,2
17027,1,2,0
17028,1,2,0
17029,1,1,1
17030,1,1,2
17031,1,1,2
17032,1,1,2
17033,1,2,0
17034,1,2,0
17035,1,1,1
17036,1,2,0
18001,1,2,0
18002,1,2,0
18003,1,1,1
18004,1,1,2
18005,1,2,0
18006,1,1,1
18007,1,1,2
18008,1,2,0
18009,1,1,2
18010,1,2,0
18011,1,1,2
18012,1,1,2
18013,1,1,2
18014,1,1,2
18015,1,1,2
18016,1,2,0
18017,1,1,2
18018,1,2,0
18019,1,2,0
18020,1,1,1
19001,1,2,0
19002,1,1,2
19003,1,2,0
19004,1,1,2
19005,1,1,1
19006,1,2,0
19007,1,2,0
19008,1,1,2
19009,1,2,0
19010,1,1,2
19011,1,2,0
19012,1,2,0
19013,1,9,97
19014,1,2,0
19015,1,2,0
19016,1,2,0
19017,1,1,2
19018,1,1,2
19019,1,1,1
19020,1,2,0
19021,1,2,0
19022,1,1,2
19023,1,2,0
19024,1,1,2
19025,1,2,0
19026,1,1,1
19027,1,2,0
19028,1,2,0
19029,1,2,0
19030,1,1,2
19031,1,2,0
19032,1,2,0
19033,1,2,0
19034,1,2,0
19035,1,2,0
19036,1,2,0
19037,1,2,0
19038,1,2,0
19039,1,1,2
19040,1,2,0
19041,1,1,2
19042,1,2,0
19043,1,2,0
19044,1,2,0
19045,1,2,0
19046,1,2,0
19047,1,2,0
19048,1,1,2
19049,1,2,0
19050,1,2,0
19051,1,1,2
20001,1,2,0
20002,1,1,2
20003,1,2,0
20004,1,2,0
20005,1,1,1
20006,1,1,2
20007,1,2,0
20008,1,2,0
20009,1,2,0
20010,1,1,2
20011,1,2,0
20012,1,2,0
20013,1,2,0
20014,1,1,2
20015,1,2,0
20016,1,2,0
20017,1,2,0
20018,1,2,0
20019,1,2,0
20020,1,2,0
20021,1,1,2
20022,1,2,0
20023,1,1,2
20024,1,2,0
20025,1,2,0
20026,1,2,0
20027,1,2,0
20028,1,2,0
20029,1,2,0
20030,1,2,0
20031,1,2,0
20032,1,2,0
20033,1,2,0
20034,1,2,0
20035,1,2,0
20036,1,2,0
20037,1,2,0
20038,1,2,0
20039,1,1,1
20040,1,2,0
20041,1,2,0
20042,1,2,0
20043,1,1,2
20044,1,1,2
20045,1,2,0
20046,1,2,0
20047,1,2,0
20048,1,2,0
20049,1,2,0
20050,1,2,0
20051,1,2,0
20052,1,1,1
20053,1,1,2
20054,1,2,0
20055,1,2,0
20056,1,2,0
20057,1,1,2
20058,1,1,1
20059,1,2,0
20060,1,2,0
20061,1,2,0
20062,1,2,0
20063,1,2,0
20064,1,2,0
20065,1,2,0
20066,1,2,0
20067,1,1,1
20068,1,2,0
20069,1,2,0
20070,1,2,0
20071,1,2,0
20072,1,2,0
20073,1,1,2
20074,1,2,0
20075,1,2,0
20076,1,2,0
20077,1,1,2
20078,1,2,0
20079,1,1,2
20080,1,2,0
20081,1,2,0
20082,1,2,0
20083,1,2,0
20084,1,2,0
20085,1,2,0
20086,1,2,0
20087,1,2,0
20088,1,2,0
20089,1,2,0
20090,1,2,0
20091,1,2,0
20092,1,2,0
20093,1,2,0
20094,1,2,0
20095,1,2,0
20096,1,2,0
20097,1,2,0
20098,1,2,0
20099,1,2,0
20100,1,2,0
20101,1,2,0
20102,1,2,0
20103,1,2,0
20104,1,2,0
20105,1,2,0
20106,1,2,0
20107,1,9,97
20108,1,2,0
20109,1,2,0
20110,1,2,0
20111,1,2,0
20112,1,2,0
20113,1,2,0
20114,1,2,0
20115,1,2,0
20116,1,2,0
20117,1,2,0
20118,1,2,0
20119,1,2,0
20120,1,2,0
20121,1,2,0
20122,1,2,0
20123,1,2,0
20124,1,2,0
20125,1,2,0
20126,1,2,0
20127,1,2,0
20128,1,2,0
20129,1,2,0
20130,1,2,0
20131,1,2,0
20132,1,2,0
20133,1,2,0
20134,1,2,0
20135,1,2,0
20136,1,2,0
20137,1,2,0
20138,1,2,0
20139,1,2,0
20140,1,2,0
20141,1,2,0
20142,1,2,0
20143,1,2,0
20144,1,2,0
20145,1,1,2
20146,1,2,0
20147,1,2,0
20148,1,2,0
20149,1,2,0
20150,1,2,0
20151,1,2,0
20152,1,2,0
20153,1,2,0
20154,1,2,0
20155,1,2,0
20156,1,2,0
20157,1,1,2
20158,1,2,0
20159,1,2,0
20160,1,2,0
20161,1,2,0
20162,1,2,0
20163,1,2,0
20164,1,2,0
20165,1,2,0
20166,1,1,2
20167,1,2,0
20168,1,2,0
20169,1,2,0
20170,1,2,0
20171,1,2,0
20172,1,2,0
20173,1,2,0
20174,1,2,0
20175,1,2,0
20176,1,2,0
20177,1,2,0
20178,1,2,0
20179,1,2,0
20180,1,2,0
20181,1,2,0
20182,1,2,0
20183,1,2,0
20184,1,1,2
20185,1,2,0
20186,1,2,0
20187,1,2,0
20188,1,2,0
20189,1,2,0
20190,1,2,0
20191,1,2,0
20192,1,2,0
20193,1,2,0
20194,1,2,0
20195,1,2,0
